id,name,category,price,ageMin,ageMax,tags,brand,imageURL,source
wb_1,Рубашка оверсайз,Мода,10520,18,60,"Мода,Стиль,Аксессуары,Female",Olesa Chugunova,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_2,Рубашка в клетку женская теплая оверсайз,Мода,7650,18,60,"Мода,Стиль,Аксессуары,Female",BE BLESSED,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_3,Рубашка Oversize женская оверсайз белая,Мода,7610,18,60,"Мода,Стиль,Аксессуары,Female",Darya Selskaya,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_4,Рубашка оверсайз / Рубашка базовая,Мода,5330,18,60,"Мода,Стиль,Аксессуары,Female",Olesa Chugunova,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_5,Блузка белая с длинным рукавом офисная,Мода,4280,18,60,"Мода,Стиль,Аксессуары,Female",AAilin,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_6,"Рубашка женская оверсайз, блузка белая",Мода,10110,18,60,"Мода,Стиль,Аксессуары,Female",NEONIKS,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_7,Блузка женская одежда/Блуза/офисная,Мода,9490,18,60,"Мода,Стиль,Аксессуары,Female",A-A Awesome Apparel by Ksenia Avakyan,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_8,рубашка женская оверсайз офисная белая,Мода,5490,18,60,"Мода,Стиль,Аксессуары,Female",Сiяй,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_9,Рубашки,Мода,8610,18,60,"Мода,Стиль,Аксессуары,Female",GREMOLLI,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_10,Рубашка женская легкий оверсайз,Мода,10230,18,60,"Мода,Стиль,Аксессуары,Female",Life in StyIe,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_11,Рубашка с карманом оверсайз хлопок,Мода,6900,18,60,"Мода,Стиль,Аксессуары,Female",Beige Island,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_12,Блузка рубашка женская больших размеров,Мода,10210,18,60,"Мода,Стиль,Аксессуары,Female",New Life jersey,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_13,Рубашка/с широкими рукавами/оверсайз,Мода,5000,18,60,"Мода,Стиль,Аксессуары,Female",ANNEN,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_14,"Блузка, рубашка женская, для офиса",Мода,1340,18,60,"Мода,Стиль,Аксессуары,Female",ALSU STYLE,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_15,Рубашка Женская Офисная Классическая,Мода,4960,18,60,"Мода,Стиль,Аксессуары,Female",Say Love,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_16,Рубашка женская оверсайз белая,Мода,6950,18,60,"Мода,Стиль,Аксессуары,Female",Camicia,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_17,Рубашка оверсайз женская хлопок белая,Мода,6250,18,60,"Мода,Стиль,Аксессуары,Female",ANNEN,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_18,Белая рубашка женская оверсайз офисная,Мода,9480,18,60,"Мода,Стиль,Аксессуары,Female",ZHUKOVA CARE,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_19,"Рубашка женская оверсайз хлопок, Белая",Мода,11190,18,60,"Мода,Стиль,Аксессуары,Female",Camicia,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_20,Рубашка женская в клетку оверсайз теплая офисная длинная,Мода,4570,18,60,"Мода,Стиль,Аксессуары,Female",Рубашка Рич - rubashka.rich,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_21,Блузка женская белая,Мода,7900,18,60,"Мода,Стиль,Аксессуары,Female",By Babur,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_22,"Рубашка женская, блузка, белая рубашка",Мода,2570,18,60,"Мода,Стиль,Аксессуары,Female",Oberron,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_23,Рубашка женская оверсайз школьная,Мода,3620,18,60,"Мода,Стиль,Аксессуары,Female",Desire,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_24,Рубашка женская офисная оверсайз белая,Мода,4550,18,60,"Мода,Стиль,Аксессуары,Female",Nataly Rik,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_25,Рубашка с запонками запонки и пуговицы,Мода,2040,18,60,"Мода,Стиль,Аксессуары,Female",Club ATZ,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_26,Блузка женская рубашка оверсайз,Мода,4100,18,60,"Мода,Стиль,Аксессуары,Female",Makey Kelly,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_27,Рубашка оверсайз базовая прямая,Мода,9310,18,60,"Мода,Стиль,Аксессуары,Female",Olesa Chugunova,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_28,Рубашка женская оверсайз Блузка офисная,Мода,4540,18,60,"Мода,Стиль,Аксессуары,Female",VESNA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_29,Теплая рубашка женская оверсайз в клетку,Мода,8050,18,60,"Мода,Стиль,Аксессуары,Female",LA LIMA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_30,Рубашка женская оверсайз большие размеры,Мода,4840,18,60,"Мода,Стиль,Аксессуары,Female",MAILLIV FASHION,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_31,Блузка женская блуза рубашка офисная,Мода,8980,18,60,"Мода,Стиль,Аксессуары,Female",LADY OF THE MOON,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_32,Блузка женская оверсайз стильная,Мода,9600,18,60,"Мода,Стиль,Аксессуары,Female",SOLL,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_33,Блузка женская офисная школьная,Мода,8800,18,60,"Мода,Стиль,Аксессуары,Female",Nataly Rik,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_34,Рубашка мужская оверсайз вельветовая,Мода,5170,18,60,"Мода,Стиль,Аксессуары,Female,Male",BULANTI,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_35,Блузка женская на запах / офисная,Мода,910,18,60,"Мода,Стиль,Аксессуары,Female",Mi Fi Ti,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_36,Блузка женская одежда офисная нарядная,Мода,1780,18,60,"Мода,Стиль,Аксессуары,Female",MOVATTY,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_37,Блузка с длинным рукавом шифоновая,Мода,6270,18,60,"Мода,Стиль,Аксессуары,Female",Saffonov,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_38,Женская блузка боди с длинным рукавом,Мода,6420,18,60,"Мода,Стиль,Аксессуары,Female",YLLO,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_39,Мужская рубашка классическая Турция,Мода,11580,18,60,"Мода,Стиль,Аксессуары,Female,Male",SKOS Fashion,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_40,Рубашка блузка женская оверсайз белая,Мода,11180,18,60,"Мода,Стиль,Аксессуары,Female",SO Brand,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_41,Блузка женская офисный стиль праздничная,Мода,4530,18,60,"Мода,Стиль,Аксессуары,Female",ВелюрТекс,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_42,"Блузка женская оверсайз в офис, кофта",Мода,5120,18,60,"Мода,Стиль,Аксессуары,Female",TTtextile,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_43,Рубашка женская белая оверсайз хлопок,Мода,4780,18,60,"Мода,Стиль,Аксессуары,Female",ANE,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_44,Рубашка женская оверсайз белая блузка,Мода,9520,18,60,"Мода,Стиль,Аксессуары,Female",Chauzi,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_45,Блузка,Мода,8480,18,60,"Мода,Стиль,Аксессуары,Female",La vie est belle,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_46,Блузка в офис рубашка белая нарядная,Мода,7540,18,60,"Мода,Стиль,Аксессуары,Female",Lady Look,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_47,"Блузка, рубашка женская, для офиса.",Мода,870,18,60,"Мода,Стиль,Аксессуары,Female",Gulsun Dynasty,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_48,"Блузка женская, рубашка офисная стильная",Мода,8320,18,60,"Мода,Стиль,Аксессуары,Female",SOLL,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_49,Рубашка оверсайз в клетку женская теплая,Мода,4600,18,60,"Мода,Стиль,Аксессуары,Female",Рубашка Рич - rubashka.rich,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_50,Блузка женская праздничная офисная,Мода,4040,18,60,"Мода,Стиль,Аксессуары,Female",SHUMI DESIGN,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_51,Блузка женская праздничная вечерняя офис,Мода,11720,18,60,"Мода,Стиль,Аксессуары,Female",Style & Soul,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_52,Женская блузка боди с рукавом фонарик,Мода,11060,18,60,"Мода,Стиль,Аксессуары,Female",YLLO,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_53,Рубашка женская оверсайз одежда белая,Мода,6980,18,60,"Мода,Стиль,Аксессуары,Female",MAS Moda,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_54,Рубашка женская белая оверсайз,Мода,2430,18,60,"Мода,Стиль,Аксессуары,Female",Kulibili,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_55,Женская блузка Рубашка шелковая,Мода,8990,18,60,"Мода,Стиль,Аксессуары,Female",ZEBRAND,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_56,"Блузка женская, школьная, офис",Мода,5080,18,60,"Мода,Стиль,Аксессуары,Female",Nataly Rik,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_57,Брюки,Мода,1950,18,60,"Мода,Стиль,Аксессуары,Female",GULAM,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_58,Брюки женские/Штаны в клетку женские,Мода,2210,18,60,"Мода,Стиль,Аксессуары,Female",Lord Bear,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_59,Брюки женские классические палаццо,Мода,11350,18,60,"Мода,Стиль,Аксессуары,Female",Joice,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_60,Джинсы женские с высокой посадкой бананы,Мода,1570,18,60,"Мода,Стиль,Аксессуары,Female",YOUMILE,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_61,Брюки мужские с принтом балаклава,Мода,12000,18,60,"Мода,Стиль,Аксессуары,Female,Male",Yolo,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_62,"Брюки мужские спортивные, штаны джоггеры",Мода,9500,18,60,"Мода,Стиль,Аксессуары,Female,Male,Спорт",Barouz Jeans,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_63,Палаццо кожаные матовые женские брюки,Мода,4570,18,60,"Мода,Стиль,Аксессуары,Female",GULAM,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_64,Брюки женские из эко кожи Нелли,Мода,4390,18,60,"Мода,Стиль,Аксессуары,Female",GILA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_65,Брюки женские классические палаццо клеш,Мода,4670,18,60,"Мода,Стиль,Аксессуары,Female",TICKETY BOO,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_66,"Женски школьные брюки палаццо, в офис",Мода,4500,18,60,"Мода,Стиль,Аксессуары,Female",IDI ALEN,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_67,брюки женские штаны женские оверсайз,Мода,2740,18,60,"Мода,Стиль,Аксессуары,Female",Зари,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_68,Брюки кожаные женские / брюки из экокожи / джеггинсы под кожу / брюки женские,Мода,6700,18,60,"Мода,Стиль,Аксессуары,Female",ANYSHOP,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_69,Джинсы широкие женские,Мода,2520,18,60,"Мода,Стиль,Аксессуары,Female",Nickinelly,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_70,Брюки Reimatec,Мода,7090,18,60,"Мода,Стиль,Аксессуары,Female",Reima,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_71,Джеггинсы женские матовые джинсы,Мода,2440,18,60,"Мода,Стиль,Аксессуары,Female",GULAM,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_72,Кожаные леггинсы/Утепленные/на флисе,Мода,2190,18,60,"Мода,Стиль,Аксессуары,Female",Sananplay,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_73,"Брюки женские , брюки офис с высокой посадкой повседневные",Мода,8840,18,60,"Мода,Стиль,Аксессуары,Female",VIKTORIYA BOGOVA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_74,Велосипедки женские спортивные черные,Мода,3280,18,60,"Мода,Стиль,Аксессуары,Female,Спорт",Im slim,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_75,Брюки для мальчика утепленные болоньевые,Мода,1340,18,60,"Мода,Стиль,Аксессуары,Female",Modis,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_76,Брюки с начёсом детские утеплённые,Мода,2270,18,60,"Мода,Стиль,Аксессуары,Female,Детский",NOSKVA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_77,Джинсы бананы/Момы/Бойфренды/штаны,Мода,11370,18,60,"Мода,Стиль,Аксессуары,Female",KENSPRIT,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_78,Брюки женские клеш трикотажные,Мода,9060,18,60,"Мода,Стиль,Аксессуары,Female",Comfi,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_79,Джинсы,Мода,9930,18,60,"Мода,Стиль,Аксессуары,Female",Nickinelly,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_80,Брюки женские,Мода,8660,18,60,"Мода,Стиль,Аксессуары,Female",Steyshen&Eva,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_81,Джинсы-Трубы от бедра Для высоких Клеш,Мода,10790,18,60,"Мода,Стиль,Аксессуары,Female",ArtTimes,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_82,Джинсы женские с высокой посадкой бананы бойфренды черные,Мода,1330,18,60,"Мода,Стиль,Аксессуары,Female",Adore Wear,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_83,Брюки спортивные без начеса,Мода,8460,18,60,"Мода,Стиль,Аксессуары,Female,Спорт",ACOOLA,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_84,Брюки черные женские с высокой посадкой,Мода,11920,18,60,"Мода,Стиль,Аксессуары,Female",UO,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_85,"Джоггеры Play Boy, штаны с зайчиками",Мода,5070,18,60,"Мода,Стиль,Аксессуары,Female",Yolo,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
wb_86,Джинсы для девочки подростка широкие,Мода,7810,18,60,"Мода,Стиль,Аксессуары,Female",timoka,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400,wildberries
